Name,Location,Flag,Coat of Arms
Adjuntas,File:Locator-map-Puerto-Rico-Adjuntas.svg,60px-Flag_of_Adjuntas%2C_Puerto_Rico.svg.png,50px-Escudo_de_Adjuntas%2C_Puerto_Rico.svg.png
Aguada,File:Locator-map-Puerto-Rico-Aguada.svg,60px-Flag_of_Aguada_%28PR%29.svg.png,50px-Escudo_de_Aguada%2C_Puerto_Rico.svg.png
Aguadilla,File:Locator-map-Puerto-Rico-Aguadilla.svg,60px-Bandera_de_Aguadilla%2C_Puerto_Rico.svg.png,50px-Escudo_de_Aguadilla%2C_Puerto_Rico.svg.png
Aguas Buenas,File:Locator-map-Puerto-Rico-Aguas-Buenas.svg,60px-Flag_of_Aguas_Buenas.svg.png,50px-Escudo_de_Aguas_Buenas%2C_Puerto_Rico.svg.png
Aibonito,File:Locator-map-Puerto-Rico-Aibonito.svg,60px-Bandera_de_Aibonito%2C_Puerto_Rico.svg.png,50px-Escudo_de_Aibonito%2C_Puerto_Rico.svg.png
Añasco,File:Locator-map-Puerto-Rico-A%C3%B1asco.svg,60px-Flag_of_A%C3%B1asco.svg.png,50px-Escudo_de_A%C3%B1asco%2C_Puerto_Rico.svg.png
Arecibo,File:Locator-map-Puerto-Rico-Arecibo.svg,60px-Bandera_de_Arecibo%2C_Puerto_Rico.svg.png,50px-Escudo_de_Arecibo%2C_Puerto_Rico.svg.png
Arroyo,File:Locator-map-Puerto-Rico-Arroyo.svg,60px-Flag_official_of_Arroyo.svg.png,50px-Coat_of_Arms_official_of_Arroyo.svg.png
Barceloneta,File:Locator-map-Puerto-Rico-Barceloneta.svg,60px-Flag_of_Barceloneta%2C_Puerto_Rico.svg.png,50px-Escudo_de_Barceloneta%2C_Puerto_Rico.svg.png
Barranquitas,File:Locator-map-Puerto-Rico-Barranquitas.svg,60px-Flag_of_Barranquitas.svg.png,50px-Escudo_de_Barranquitas%2C_Puerto_Rico.svg.png
